name,country,status,match_title,score,image
Jever,Alemania,found,File:Jever Bottle.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Jever_Bottle.jpg/500px-Jever_Bottle.jpg
Jhon Bull,Reino Unido,fallback,,,
John Martin's,Bélgica,fallback,,,
Judas,Bélgica,found,File:Judas glass.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Judas_glass.jpg/500px-Judas_glass.jpg
Kapitel ABT,Bélgica,fallback,,,
Karmeliet Triple,Bélgica,found,File:Tripel Karmeliet glas.jpg,129.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Tripel_Karmeliet_glas.jpg/500px-Tripel_Karmeliet_glas.jpg
Kasteelbier Bruin/Brune,Bélgica,fallback,,,
Kasteelbier Rouge,Bélgica,fallback,,,
Kasteelbier Triple,Bélgica,fallback,,,
Kelpie Seaweed Ale,Reino Unido,fallback,,,
Kilkenny,Irlanda,found,existing,,https://commons.wikimedia.org/wiki/Special:FilePath/Kilkenny%20Irish%20beer.JPG
Kingfisher,India,found,existing,,https://commons.wikimedia.org/wiki/Special:FilePath/Kingfisher%20beer%20bottle.jpg
Kingston,Francia,found,File:Sean Kingston written on beer bottles.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Sean_Kingston_written_on_beer_bottles.jpg/500px-Sean_Kingston_written_on_beer_bottles.jpg
Kirin,Japón,found,File:Shirokiya's Kirin Ichiban-Shibori Beer mug in Japan 2011.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Shirokiya%27s_Kirin_Ichiban-Shibori_Beer_mug_in_Japan_2011.jpg/500px-Shirokiya%27s_Kirin_Ichiban-Shibori_Beer_mug_in_Japan_2011.jpg
König Ludwig Weissbier Hell,Alemania,fallback,,,
Köstritzer,Alemania,found,File:Glass of Köstritzer Schwarzbier.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/9/99/Glass_of_K%C3%B6stritzer_Schwarzbier.jpg
Krombacher Weizen,Alemania,found,File:Bottle cap - Krombacher (Weizen).jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Bottle_cap_-_Krombacher_%28Weizen%29.jpg/500px-Bottle_cap_-_Krombacher_%28Weizen%29.jpg
Krombacher Weizen Alkoholfrei,Alemania,fallback,,,
Kwak,Bélgica,found,existing,,https://commons.wikimedia.org/wiki/Special:FilePath/Kwak.jpg
L' Exploité Stout,Canadá,fallback,,,
L' Interdite,Canadá,fallback,,,
La Binchoise Blonde,Bélgica,fallback,,,
La Binchoise Brune,Bélgica,fallback,,,
La Binchoise des Ours,Bélgica,fallback,,,
La Binchoise Speciale Noel,Bélgica,fallback,,,
La Chouffe (Blond),Bélgica,found,File:La Chouffe bottle.jpg,140.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/La_Chouffe_bottle.jpg/500px-La_Chouffe_bottle.jpg
La Chouffe (Mc Chouffe),Bélgica,found,File:La Chouffe bottle.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/La_Chouffe_bottle.jpg/500px-La_Chouffe_bottle.jpg
La Chouffe Houblon,Bélgica,fallback,,,
La Chouffe N'ice,Bélgica,fallback,,,
La Divine,Bélgica,fallback,File:Dante - La Divine Comédie (trad. Artaud de Montor).djvu,175.0,
La Divine de Saint Landelin,Francia,fallback,,,
La Dragonne,Bélgica,fallback,,,
La Fruta Prohibida,Bélgica,fallback,,,
La Gauloise Blonde,Bélgica,found,File:La Gauloise Blonde.JPG,175.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/La_Gauloise_Blonde.JPG/500px-La_Gauloise_Blonde.JPG
La Gauloise Brune,Bélgica,fallback,,,
La Goudale,Francia,found,File:La goudale.jpg,175.0,https://upload.wikimedia.org/wikipedia/commons/b/b5/La_goudale.jpg
La Guillotine,Bélgica,found,File:La Guillotine Bier 3.JPG,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/La_Guillotine_Bier_3.JPG/500px-La_Guillotine_Bier_3.JPG
La Maison Belge,Bélgica,fallback,,,
La Trappe Blonde,Países Bajos,fallback,,,
La Trappe Dubbel,Países Bajos,found,File:La Trappe Dubbel in a Glass.jpg,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/La_Trappe_Dubbel_in_a_Glass.jpg/500px-La_Trappe_Dubbel_in_a_Glass.jpg
La Trappe Isid'or,Países Bajos,found,File:La Trappe Isid’or.JPG,175.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/La_Trappe_Isid%E2%80%99or.JPG/500px-La_Trappe_Isid%E2%80%99or.JPG
La Trappe Quadruple,Países Bajos,fallback,,,
La Trappe Triple,Países Bajos,fallback,,,
La Trappe Witte,Países Bajos,found,File:La Trappe Witte Trappist.JPG,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/La_Trappe_Witte_Trappist.JPG/500px-La_Trappe_Witte_Trappist.JPG
Lambicus Blanche (Timmermans),Bélgica,fallback,,,
Lambicus Gueuse (Timmermans),Bélgica,fallback,,,
Lambicus Kriek (Timmermans),Bélgica,fallback,,,
Lamme Goedzak,Países Bajos,found,File:Lamme goedzak.jpg,167.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Lamme_goedzak.jpg/500px-Lamme_goedzak.jpg
Lapin Kulta,Finlandia,found,File:Cap of Hartwall LTD - Lapin Kulta Premium Lager Beer.jpg,224.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Cap_of_Hartwall_LTD_-_Lapin_Kulta_Premium_Lager_Beer.jpg/330px-Cap_of_Hartwall_LTD_-_Lapin_Kulta_Premium_Lager_Beer.jpg
Le Trinqueur,Canadá,fallback,,,
Leffe 9,Bélgica,found,File:Leffe.9%.JPG,167.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Leffe.9%25.JPG/500px-Leffe.9%25.JPG
Leffe Blonde / Blond,Bélgica,fallback,File:Leffe-beer.jpg,129.0,
Leffe Brune / Bruin,Bélgica,found,File:Br. Abbaye de Leffe s.a.n.v. - Leffe Brune . Bruin.jpg,167.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Br._Abbaye_de_Leffe_s.a.n.v._-_Leffe_Brune_._Bruin.jpg/500px-Br._Abbaye_de_Leffe_s.a.n.v._-_Leffe_Brune_._Bruin.jpg
Leffe Radieuse,Bélgica,fallback,,,
Leffe Triple / Tripel,Bélgica,fallback,,,
Leffe Vieille Cuvèe,Bélgica,fallback,,,
"Left Hand ""Black Jack"" Porter",Estados Unidos,fallback,,,
"Left Hand ""Milk Stout""",Estados Unidos,fallback,,,
Legado de Yuste,España,fallback,,,
Leutebock,Bélgica,fallback,,,
Liefmans Framboise (Frambuesa),Bélgica,fallback,,,
Liefmans Kriek (Cereza),Bélgica,fallback,,,
Lindemans Faro,Bélgica,fallback,,,
Lindemans Framboise (Frambuesa),Bélgica,fallback,,,
Lindemans Kriek (Cereza),Bélgica,fallback,,,
Lindemans Pecheresse (Melocotón),Bélgica,fallback,,,
Lindemans Tea,Bélgica,fallback,,,
Litovel,República Checa,fallback,,,
Lobkowicz,República Checa,fallback,,,
Lola,Bélgica,fallback,,,
London Ale,Reino Unido,found,File:Labatt s London Ale.jpg,224.0,https://upload.wikimedia.org/wikipedia/commons/c/c2/Labatt_s_London_Ale.jpg
Loterbol Blond,Bélgica,fallback,File:Loterbol (bier).JPG,129.0,
Loterbol Bruin,Bélgica,fallback,File:Loterbol (bier).JPG,129.0,
